,Oil_store,주소,가격,셀프,상표,구
441,일신주유소,서울특별시 금천구 시흥대로 118 (시흥동),1528.0,Y,GS칼텍스,금천구
442,현대오일뱅크㈜직영 금천현대주유소,서울특별시 금천구  독산로 147 (시흥동),1528.0,N,현대오일뱅크,금천구
443,KH에너지(주)직영시흥대로주유소,서울시 금천구 시흥대로 221 (시흥동),1528.0,N,SK에너지,금천구
444,남서울경복에너지,서울 금천구 독산로 257 (독산동),1528.0,Y,S-OIL,금천구
445,구광주유소,서울특별시 금천구  서부샛길 674 (가산동),1568.0,N,S-OIL,금천구
446,성부주유소,서울 금천구 남부순환로 1280 (가산동),1673.0,N,SK에너지,금천구
447,백운주유소,서울 금천구 시흥대로 282 (독산동),1698.0,N,GS칼텍스,금천구
448,순환도로,서울 금천구 남부순환로 1410 (독산동),1798.0,N,SK에너지,금천구
449,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441 (독산동),1848.0,N,SK에너지,금천구
450,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),1849.0,N,SK에너지,금천구
451,태릉솔밭주유소,서울특별시 노원구 노원로 49 (공릉동),1497.0,Y,S-OIL,노원구
452,월계주유소,서울 노원구 월계로 252 (월계동),1518.0,Y,GS칼텍스,노원구
453,불암주유소,서울특별시 노원구  한글비석로 268 (중계동),1532.0,Y,S-OIL,노원구
454,신성주유소,서울 노원구 월계로 328 (월계동),1539.0,Y,S-OIL,노원구
455,성북역주유소,서울 노원구 광운로 95 (월계동),1539.0,N,GS칼텍스,노원구
456,삼육주유소,서울특별시 노원구  화랑로 822 (공릉동),1540.0,Y,SK에너지,노원구
457,(주)이엠배꽃나라주유소,서울특별시 노원구  화랑로 466 (공릉동),1545.0,Y,GS칼텍스,노원구
458,한신주유소,서울 노원구 동일로 1089 (공릉동),1558.0,N,SK에너지,노원구
459,(주)소모석유수락산주유소,서울특별시 노원구 동일로 1772 (상계동),1566.0,N,GS칼텍스,노원구
460,화랑대주유소,서울특별시 노원구  화랑로483 (공릉동)화랑대주유소,1598.0,Y,SK에너지,노원구
461,노원주유소,서울특별시 노원구  동일로 1008 (공릉동),1598.0,N,GS칼텍스,노원구
462,상계동주유소,서울 노원구 노원로26길 191 (상계동),1610.0,N,현대오일뱅크,노원구
463,양지진흥개발(주)상계주유소,서울 노원구 노해로 527 (상계동),1638.0,N,SK에너지,노원구
464,하계삼호주유소,서울 노원구 공릉로 294 (하계동),1688.0,N,GS칼텍스,노원구
465,노원역주유소,서울특별시 노원구  노해로75길 20-25 (상계동),1865.0,N,SK에너지,노원구
466,sk네트웍스(주)직영 하계주유소,서울특별시 노원구  노원로17길 29 (하계동),1865.0,N,SK에너지,노원구
467,도봉제일주유소(주)송만에너지,서울특별시 도봉구  도봉로 783 (도봉동),1502.0,N,현대오일뱅크,도봉구
468,삼미상사(주)북부주유소,서울 도봉구 도봉로 437 (쌍문동),1504.0,Y,SK에너지,도봉구
469,정다운셀프주유소, 서울특별시 도봉구 도봉로 635 (쌍문동),1504.0,Y,SK에너지,도봉구
470,한이에너지(주)KLP제1주유소,서울특별시 도봉구  도봉로 596 (창동),1504.0,N,현대오일뱅크,도봉구
